Cycle,Time_Min,Voltage,Current,Temp,Capacity
1,0,3.3541,3.9991,26.1,1.893
1,0.401472440944882,3.56092635479389,4.00004395553497,26.1,1.893
1,0.802944881889764,3.62477031032886,4.0001,26.1,1.893
1,1.20441732283465,3.65303385826772,4.0001,26.2,1.893
1,1.60588976377953,3.66620981936082,4.0001,26.3699397869384,1.893
1,2.00736220472441,3.6757240389069,4.0001,26.5,1.893
1,2.40883464566929,3.68509448818898,4.0001,26.7,1.893
1,2.81030708661417,3.6944701250579,4.0001,26.8,1.893
1,3.21177952755906,3.70371245947198,4.0001,26.9281148679944,1.893
1,3.61325196850394,3.71271621120889,4.0001,27.1,1.893
1,4.01472440944882,3.72113043075498,4.00008985641501,27.2101435849931,1.893
1,4.4161968503937,3.72874465030107,4.0001,27.4,1.893
1,4.81766929133858,3.73597651690598,4.0001,27.5,1.893
1,5.21914173228346,3.74259073645206,4.0001,27.6,1.893
1,5.62061417322835,3.74852690288714,4.0001,27.7,1.893
1,6.02208661417323,3.75403631310792,4.0001,27.9,1.893
1,6.42355905511811,3.75928633626679,4.0001,28,1.893
1,6.82503149606299,3.76430055581288,4.0001,28.1,1.893
1,7.22650393700787,3.76914414080593,4.0001,28.2,1.893
1,7.62797637795276,3.77378221398796,4.0001,28.3,1.893
1,8.02944881889764,3.77853205187587,4.00006794812413,28.3,1.893
1,8.43092125984252,3.78317600741084,4.0001,28.5,1.893
1,8.8323937007874,3.78755656167979,4.00011885389326,28.6,1.893
1,9.23386614173228,3.79220962379703,4.0001,28.6,1.893
1,9.63533858267717,3.79679221861973,4.0001,28.7,1.893
1,10.036811023622,3.80157567804024,4.0001,28.8,1.893
1,10.4382834645669,3.80623441408059,4.0001,28.9,1.893
1,10.8397559055118,3.81111621120889,4.0001,28.9,1.893
1,11.2412283464567,3.81606016674386,4.0001,29,1.893
1,11.6427007874016,3.82109647985178,4.0001,29.1,1.893
1,12.0441732283465,3.82633985126859,4.0001,29.3,1.893
1,12.4456456692913,3.83172315886985,4.0001,29.3,1.893
1,12.8471181102362,3.8372686351706,4.0001,29.4,1.893
1,13.2485905511811,3.84308689207967,4.0001,29.4,1.893
1,13.650062992126,3.84931250578972,4.0001,29.4,1.893
1,14.0515354330709,3.85565062528949,4.0001,29.5497915701714,1.893
1,14.4530078740157,3.8625824918944,4.0001,29.5,1.893
1,14.8544803149606,3.86966447429365,4.0001,29.6,1.893
1,15.2559527559055,3.87735155164428,4.0001,29.629689671144,1.893
1,15.6574251968504,3.88524041994751,4.0001,29.7,1.893
1,16.0588976377953,3.89370935618342,4.0001,29.7,1.893
1,16.4603700787402,3.90267123668365,4.0001,29.8,1.893
1,16.861842519685,3.91198545622974,4.0001,29.9,1.893
1,17.2633149606299,3.92211732283465,4.0001,29.9275590551181,1.893
1,17.6647874015748,3.93275257063455,4.0001,30,1.893
1,18.0662598425197,3.9438429365447,4.0001,30,1.893
1,18.4677322834646,3.95543700787402,4.0001,30,1.893
