Cycle,Time_Min,Voltage,Current,Temp,Capacity
1,0,3.4587,3.9991,26.1,1.861
1,0.413220472440945,3.62196572487263,4.0001,26.1130616025938,1.861
1,0.82644094488189,3.66093250218723,4.0001,26.3302274715661,1.861
1,1.23966141732283,3.67631755442334,4.0001,26.5,1.861
1,1.65288188976378,3.68667515310586,4.00004378827647,26.8,1.861
1,2.06610236220472,3.69659712830014,4.0001,27.1,1.861
1,2.47932283464567,3.7063330245484,4.00006660490968,27.4,1.861
1,2.89254330708661,3.715621352478,4.00012621584067,27.573784159333,1.861
1,3.30576377952756,3.72444606299213,4.0001,27.8820209973753,1.861
1,3.7189842519685,3.73228207503474,4.0001,28.1,1.861
1,4.13220472440945,3.73970669291339,4.0001,28.4,1.861
1,4.54542519685039,3.74604279759148,4.0001,28.6,1.861
1,4.95864566929134,3.75209962945808,4.0001,28.8,1.861
1,5.37186614173228,3.75759254284391,4.0001,29,1.861
1,5.78508661417323,3.7628,4.0001,29.2,1.861
1,6.19830708661417,3.76777239462714,4.0001,29.3,1.861
1,6.61152755905512,3.77244738304771,4.00002630847615,29.5,1.861
1,7.02474803149606,3.77716025937934,4.0001,29.7,1.861
1,7.43796850393701,3.78169965004374,4.00009982502187,29.8,1.861
1,7.85118897637795,3.78612575266327,4.0001,30,1.861
1,8.2644094488189,3.79054243219598,4.00013560804899,30.1,1.861
1,8.67762992125984,3.79498976377953,4.0001,30.1,1.861
1,9.09085039370079,3.79962055993001,4.000060279965,30.2602799650044,1.861
1,9.50407086614173,3.80418443723946,4.0001,30.4,1.861
1,9.91729133858268,3.80859166280686,4.0001,30.5,1.861
1,10.3305118110236,3.81342667901806,4.0001,30.7,1.861
1,10.7437322834646,3.81808781843446,4.0001,30.8,1.861
1,11.1569527559055,3.82314678091709,4.00004678091709,30.9,1.861
1,11.5701732283465,3.82827952755906,4.0001,31,1.861
1,11.9833937007874,3.8338939323761,4.0001,31.1,1.861
1,12.3966141732283,3.83937193144974,4.00001403427513,31.2,1.861
1,12.8098346456693,3.84519724409449,4.00019816272966,31.4,1.861
1,13.2230551181102,3.85123626679018,4.0001,31.4120889300602,1.861
1,13.6362755905512,3.85772515053265,4.0001,31.525150532654,1.861
1,14.0494960629921,3.8644764242705,4.0001,31.7,1.861
1,14.4627165354331,3.8716361741547,4.0001,31.8,1.861
1,14.875937007874,3.87932167670218,4.00003566465956,31.8,1.861
1,15.289157480315,3.88723219082909,4.0001,31.9,1.861
1,15.7023779527559,3.89580666975452,4,32,1.861
1,16.1155984251969,3.9047499507874,4.0001,32.1,1.861
1,16.5288188976378,3.9145026864289,4.00003422880963,32.2,1.861
1,16.9420393700787,3.92464844835572,4.00004140805929,32.3,1.861
1,17.3552598425197,3.93525721784777,4,32.3,1.861
1,17.7684803149606,3.94667883279296,4.00005576655859,32.3,1.861
1,18.1817007874016,3.95839884205651,4,32.3,1.861
1,18.5949212598425,3.97075108846688,4,32.4,1.861
1,19.0081417322835,3.9835031496063,4.0001,32.5,1.861
1,19.4213622047244,3.99675558128763,4.0001,32.6,1.861
1,19.8345826771654,4.01026174154701,4.0001,32.6,1.861
1,20.2478031496063,4.0242672070403,4.00005409911996,32.6,1.861
1,20.6610236220472,4.03837169986105,4.0001,32.7,1.861
1,21.0742440944882,4.05283214451135,4.00002797591477,32.7,1.861
1,21.4874645669291,4.06719601667439,4.00007920333488,32.8,1.861
1,21.9006850393701,4.08169258916165,4,32.9,1.861
1,22.313905511811,4.09665604446503,4.00008879110699,32.8,1.861
1,22.727125984252,4.1112941639648,4,32.7,1.861
1,23.1403464566929,4.12615928670681,4,32.9,1.861
1,23.5535669291339,4.14085196850394,4.00005039370079,32.9,1.861
1,23.9667874015748,4.15584668828161,4.00003066234368,32.7,1.861
1,24.3800078740157,4.17095919407133,4.00001760074108,32.7,1.861
1,24.7932283464567,4.18610634295713,4.00009873140857,32.7,1.861
1,25.2064488188976,4.2003,3.99726201945345,32.7,1.861
1,25.6196692913386,4.2003,3.45109328392775,32.8,1.861
1,26.0328897637795,4.2003,3.04401157943492,32.7,1.861
1,26.4461102362205,4.2003,2.69200492125984,32.6,1.861
1,26.8593307086614,4.2003,2.38760180639185,32.6,1.861
1,27.2725511811024,4.2003,2.12520842982862,32.6,1.861
1,27.6857716535433,4.2003,1.90221148679944,32.3,1.861
1,28.0989921259843,4.2003,1.71198140857393,32.1,1.861
1,28.5122125984252,4.2003,1.54631496062992,31.9,1.861
1,28.9254330708661,4.2003,1.39642677165354,31.7503937007874,1.861
1,29.3386535433071,4.2003,1.26363538675313,31.5,1.861
1,29.751874015748,4.2003,1.14360306211724,31.3,1.861
1,30.165094488189,4.2003,1.0381424733673,31.0935618341825,1.861
1,30.5783149606299,4.2003,0.945261509958314,30.8,1.861
1,30.9915354330709,4.2003,0.863890597498842,30.5674386289949,1.861
1,31.4047559055118,4.2003,0.792668040759611,30.4,1.861
1,31.8179763779528,4.2003,0.728563131079204,30.3,1.861
1,32.2311968503937,4.2003,0.674112042612321,30.1,1.861
1,32.6444173228346,4.2003,0.626493052339046,29.9,1.861
1,33.0576377952756,4.2003,0.584225057897175,29.7,1.861
1,33.4708582677165,4.2003,0.547505002315887,29.6,1.861
1,33.8840787401575,4.2003,0.514479434923576,29.3936544696619,1.861
1,34.2972992125984,4.2003,0.485611679790026,29.1294400699912,1.861
1,34.7105196850394,4.2003,0.4601,29,1.861
1,35.1237401574803,4.2003,0.436585873089393,28.9,1.861
1,35.5369606299213,4.2003,0.416251320055581,28.8,1.861
1,35.9501811023622,4.2003,0.397549235757295,28.6,1.861
1,36.3634015748031,4.2003,0.379942241778601,28.5,1.861
1,36.7766220472441,4.2003,0.3642,28.3,1.861
1,37.189842519685,4.2003,0.349750162112089,28.2,1.861
1,37.603062992126,4.2003,0.3365,28,1.861
1,38.0162834645669,4.2003,0.3236,27.9,1.861
1,38.4295039370079,4.2003,0.311396850393701,27.8,1.861
1,38.8427244094488,4.2003,0.299879295970357,27.7,1.861
1,39.2559448818898,4.2003,0.289153913849004,27.6,1.861
1,39.6691653543307,4.2003,0.278164752200093,27.5,1.861
1,40.0823858267716,4.2003,0.2688,27.4,1.861
1,40.4956062992126,4.2003,0.259543307086614,27.3,1.861
